Year model,Car Spec,Kilometres,Seller type,Price,Transmission,Body type,Drive type,Engine,Fuel type,Fuel consumption,Colour ext / int,Registration,Rego expiry,VIN,Stock No,ANCAP Safety rating,Green overall rating,Dealer,Address,Seating capacity,Doors,Front tyre size,Front rim size,Rear tyre size,Rear rim size,Injection / Carburation,CC,Number of cylinders,Front suspension,Rear suspension,Front brakes,Rear brakes,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),CO2 level (g/km),Green house rating,Overall HxWxL,Ground clearance unladen,Wheelbase,Kerb weight,Turning circle,Rear track,Front track,Gross trailer weight braked,Make,Model,Variant,Series,Warranty when new (months),Warranty when new (kms),Service interval (months),Service interval (kms),Country of origin,Vehicle segment
2007,2007 Audi TT 8J Coupe 2dr S tronic 6sp 2.0T,"104,108km",Dealer: Used,"$17,990",Sports Automatic Dual Clutch,-,-,-,,-,Blue / -,1CWG869,-,TRUZZZ8J981023299,3620,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Madman motors,"14 Buckingham Drive, Wangara, WA",,,,,,,,,,,,,,,,-,-,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,-,-,-,-,-,-,-,-,Audi,TT,8J Coupe 2dr S tronic 6sp 2.0T,,,,,,,
2019,2019 Hyundai I30 Active PD2 MY19,"74,070km",Dealer: Used,"$20,998",Automatic,"HATCH, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 2 L",Unleaded Petrol,7.40 L / 100 km,Silver / -,1GSR827,-,KMHH351EMKU096318,P6369,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,205/55 R16,6.5x16,205/55 R16,6.5x16,,1999,4,MacPherson Strut,Torsion Beam Axle,Disc - Ventilated,Disc,50.00,16,203 @ 4700 RPM,120 @ 6200 RPM,173.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1455mm x 1795mm x 4340mm,140 mm,2650 mm,1276 kg,10.60 m,1568 mm,1559 mm,-,Hyundai,I30,Active,PD2 MY19,60,"999,000",12,"15,000",,
2019,2019 Hyundai I30 Active PD2 MY19,"66,975km",Dealer: Used,"$21,998",Automatic,"HATCH, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 2 L",Unleaded Petrol,7.40 L / 100 km,Silver / -,1GTL860,-,KMHH351EMKU099596,P6368,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,205/55 R16,6.5x16,205/55 R16,6.5x16,,1999,4,MacPherson Strut,Torsion Beam Axle,Disc - Ventilated,Disc,50.00,16,203 @ 4700 RPM,120 @ 6200 RPM,173.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1455mm x 1795mm x 4340mm,140 mm,2650 mm,1276 kg,10.60 m,1568 mm,1559 mm,-,Hyundai,I30,Active,PD2 MY19,60,"999,000",12,"15,000",,
2019,2019 Hyundai I30 Active PD2 MY19,"68,845km",Dealer: Used,"$21,998",Automatic,"HATCH, 4 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 2 L",Unleaded Petrol,7.40 L / 100 km,Silver / -,1GSE691,-,KMHH351EMKU088563,P6367,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,205/55 R16,6.5x16,205/55 R16,6.5x16,,1999,4,MacPherson Strut,Torsion Beam Axle,Disc - Ventilated,Disc,50.00,16,203 @ 4700 RPM,120 @ 6200 RPM,173.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1455mm x 1795mm x 4340mm,140 mm,2650 mm,1276 kg,10.60 m,1568 mm,1559 mm,-,Hyundai,I30,Active,PD2 MY19,60,"999,000",12,"15,000",,
2017,2017 Mitsubishi Triton GLX (4X4) MQ MY18,"188,978km",Dealer: Used,"$24,750",Automatic,"Ute Tray, 4 Doors, 5 Seats",4x4,"4 cyl, 2.4 L",Diesel,7.60 L / 100 km,White / Black,1GLA245,27 Aug 2023,MMAZYKL10HH025099,7208,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,245/70 R16,7x16,245/70 R16,7x16,,2440,4,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,75.00,16,430 @ 2500 RPM,133 @ 3500 RPM,201.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1780mm x 1815mm x 5200mm,205 mm,3000 mm,1930 kg,11.80 m,1515 mm,1520 mm,-,Mitsubishi,Triton,GLX (4X4),MQ MY18,60,"100,000",12,"15,000",,
2016,2016 Mitsubishi Triton GLX (4X4) MQ MY16,"141,855km",Dealer: Used,"$26,900",Automatic,"Ute Tray, 4 Doors, 5 Seats",4x4,"4 cyl, 2.4 L",Diesel,7.60 L / 100 km,White / Black,1GGU677,17 Aug 2023,MMAJYKL10HH000452,7202,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,245/70 R16,7x16,245/70 R16,7x16,,2440,4,Anti Roll Bar;Coil Spring;Hydraulic Double Acting Shock Absorber;,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,75.00,16,430 @ 2500 RPM,133 @ 3500 RPM,201.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1780mm x 1815mm x 5200mm,205 mm,3000 mm,1930 kg,11.80 m,1515 mm,1520 mm,-,Mitsubishi,Triton,GLX (4X4),MQ MY16,60,"100,000",12,"15,000",,
2018,2018 Volkswagen Golf 110 TSI Comfortline AU MY18,"43,147km",Dealer: Used,"$26,999",Auto Direct Shift,"HATCH, 5 Doors, 5 Seats",Front Wheel Drive,"4 cyl, 1.4 L",Premium Unleaded Petrol,5.40 L / 100 km,White / Black,1GNE365,10 Jul 2023,WVWZZZAUZJW153580,417219,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,5,225/45 R17,7Jx17,225/45 R17,7Jx17,,1395,4,Anti Roll Bar;Independent;MacPherson Strut,Anti Roll Bar;Independent;Multi-Link System,Disc - Ventilated,Disc - Ventilated,50.00,16,250 @ 1500 RPM,110 @ 5000 RPM,128.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1452mm x 1799mm x 4258mm,142 mm,2620 mm,1261 kg,10.90 m,1508 mm,1537 mm,-,Volkswagen,Golf,110 TSI Comfortline,AU MY18,36,"999,000",12,"15,000",,
2020,2020 Ford Ranger XL 2.2 HI-Rider (4X2) PX Mkiii MY20.25,"51,773km",Dealer: Used,"$36,750",Automatic,"Ute Tray, 4 Doors, 4 Seats",Rear Wheel Drive,"4 cyl, 2.2 L",Diesel,7.80 L / 100 km,White / Black,1HBS029,31 Jul 2023,MNAUM1F80LW083391,7198,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Webb Auto Sales,"76 Division Street, Welshpool, WA",4,4,215/70 R16,6.5x16,215/70 R16,6.5x16,,2198,4,Coil Spring;Double Wishbone;Hydraulic Double Acting Shock Absorbe,Hydraulic Double Acting Shock Absorber;Leaf Spring,Disc - Ventilated,Drum,80.00,16,385 @ 1600 RPM,118 @ 3200 RPM,203.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1804mm x 1850mm x 5110mm,232 mm,3220 mm,1783 kg,12.70 m,1530 mm,1560 mm,-,Ford,Ranger,XL 2.2 HI-Rider (4X2),PX Mkiii MY20.25,60,"999,000",12,"15,000",,
2009,2009 Audi S5 4.2 FSI Quattro 8T,"163,162km",Dealer: Used,"$26,921",Automatic Tiptronic,"Coupe, 2 Doors, 4 Seats",All Wheel Drive,"8 cyl, 4.2 L",Premium Unleaded Petrol,12.40 L / 100 km,White / -,1HXE657,-,WAUZZZ8T49A041980,2507,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Next Ride,"464 Canning Highway, Como, WA",4,2,245/40 R18,8.5x18,245/40 R18,8.5x18,,4163,8,Anti Roll Bar;Coil Spring;Gas Damper;Multi-Link System;Upper and,Anti Roll Bar;Coil Spring;Gas Damper;Trapezoidal Link,Disc - Ventilated,Disc - Ventilated,63.00,32,440 @ 3500 RPM,260 @ 7000 RPM,298.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1369mm x 1854mm x 4635mm,114 mm,2751 mm,1630 kg,11.40 m,1581 mm,1594 mm,-,Audi,S5,4.2 FSI Quattro,8T,36,"999,000",12,"25,000",,
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,"23,710km",Dealer: Used,"$22,750",Auto D/SH T/Tron Spt,"HATCH, 5 Doors, 5 Seats",Front Wheel Drive,"3 cyl, 1 L",Premium Unleaded Petrol,5.00 L / 100 km,White / -,1HWW379,04 Aug 2023,WVWZZZAWZMU082387,7218,,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,185/65 R15,5.5Jx15,185/65 R15,5.5Jx15,,999,3,Coil Spring;Independent;MacPherson Strut,Coil Spring;Torsion Bar;Trailing Arm,Disc - Ventilated,Drum,40.00,12,175 @ 2000 RPM,70 @ 5000 RPM,113.00,LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.LeafCreated with Sketch.,1446mm x 1751mm x 4053mm,147 mm,2548 mm,1104 kg,10.60 m,1501 mm,1521 mm,-,Volkswagen,Polo,70TSI Trendline,AW MY21,60,"999,000",12,"15,000",,
